"wikidata1","event","subject","wikidata2","date_from"
"Q2648542","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2648542","get_magdeburg",,,"21.01.1792"
"Q2648542","become_village",,,"194?"
"Q2599850","change_state","ВКЛ","Q49683",
"Q2599850","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",
"Q2599850","change_state","Расійская імперыя (з 1795 г.)","Q34266",
"Q2599850","change_state","БНР (з 25 сакавіка 1918 г.)","Q842199",
"Q2599850","change_state","БССР (з 1 студзеня 1919 г.)","Q2895",
"Q2599850","change_state","Сярэдняя Літва (з 1920 г.)","Q523380",1920
"Q2599850","change_state","Польская рэспубліка (II Рэч Паспалітая) ( з 1922 г.)","Q207272",1922
"Q2599850","change_state","БССР (з 1939 г.)","Q2895",1939
"Q2599850","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2599850","get_magdeburg",,,"25.05.1792"
"Q2599850","become_village",,,1939
"Q2599850","become_agrotown",,,"20??"
"Q3692422","change_state","ВКЛ","Q49683","12??"
"Q3692422","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q3692422","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q3692422","change_state","БНР (з 25 сакавіка 1918 г.)","Q842199",1918
"Q3692422","change_state","БССР (з 1 студзеня 1919 г.)","Q2895",1919
"Q3692422","change_state","Польская рэспубліка (II Рэч Паспалітая) ( з 1921 г.)","Q207272",1921
"Q3692422","change_state","БССР (з 1939 г.)","Q2895",1939
"Q3692422","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q3692422","get_magdeburg",,,"30.05.1610 (прывілей згарэў)"
"Q3692422","get_magdeburg",,,"06.061633 (канфірмацыйны прывілей)"
"Q3692422","become_town",,,"15??"
"Q3692422","become_village",,,1939
"Q3692422","become_agrotown",,,"20??"
"Q2993986","change_state","ВКЛ","Q49683","12??"
"Q2993986","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q2993986","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q2993986","change_state","Польская рэспубліка (II Рэч Паспалітая) ( з 1921 -1939 гг.)","Q207272",1921
"Q2993986","change_state","БССР (з 1939 г.)","Q2895",1939
"Q2993986","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2993986","get_magdeburg",,,"23.02.1792"
"Q2993986","become_city",,,1549
"Q2471767","change_state","ВКЛ","Q49683","12??"
"Q2471767","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q2471767","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q2471767","change_state","БНР (з 25 сакавіка 1918 г.)","Q842199",1918
"Q2471767","change_state","Польская рэспубліка (II Рэч Паспалітая) ( з 1921 г.)","Q207272",1921
"Q2471767","change_state","БССР (з 1939 г.)","Q2895",1939
"Q2471767","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2471767","get_magdeburg",,,1595
"Q2471767","become_settlement",,,1940
"Q3917501","change_state","ВКЛ","Q49683","12??"
"Q3917501","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q3917501","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q3917501","change_state","Польская рэспубліка (II Рэч Паспалітая) ( з 1921 г.)","Q207272",1921
"Q3917501","change_state","БССР (з 1939 г.)","Q2895",1939
"Q3917501","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q3917501","get_magdeburg",,,"05.06.1792"
"Q3917501","become_agrotown",,,"20??"
,,,,
"Q140147","change_state","ВКЛ","Q49683",1319
"Q140147","change_state","Цэнтр  Берасцейскага ваяводства",,1566
"Q140147","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q140147","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q140147","change_state","Польская рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",1921
"Q140147","change_state","БССР (з 1939 г.)","Q2895",1939
"Q140147","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q140147","get_magdeburg",,,"15.08.1390,1511, 1554, 1580, 1607, 1614, 1661 "
"Q140147","become_city",,,
"Q181376","change_state","ВКЛ","Q49683",1270
"Q181376","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q181376","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q181376","change_state","БНР (з 25 сакавіка 1918 г.)","Q842199",1918
"Q181376","change_state","Польская рэспубліка (II Рэч Паспалітая) (з1921 г.)","Q207272",1921
"Q181376","change_state","БССР (з 1939 г.)","Q2895",1939
"Q181376","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q181376","get_magdeburg",,,"1391, 1496"
"Q181376","become_city",,,
"Q200797","change_state","ВКЛ ( сяр. XIII cт.)","Q49683",1250
"Q200797","change_state","Цэнтр Полацкага ваяводства",,1504
"Q200797","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q200797","change_state","Расійская імперыя (з 1793 г.)","Q34266","1772, 1793"
"Q200797","change_state","БССР (з 1919 г.)","Q2895",1924
"Q200797","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q200797","get_magdeburg",,,1498
"Q200797","become_city",,,
"Q2280","change_state","ВКЛ","Q49683",1326
"Q2280","change_state","Цэнтр Менскага ваяводства",,"1565-1566"
"Q2280","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q2280","change_state","Расійская імперыя (з1793 г.)","Q34266",1793
"Q2280","change_state","БНР (з 25 сакавіка 1918 г.)","Q842199",1918
"Q2280","change_state","БССР (з 1919 г.)","Q2895","1919, 1921"
"Q2280","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2280","get_magdeburg",,,"14.03.1499"
"Q2280","become_city",,,
"Q2478305","change_state","ВКЛ",,
"Q2478305","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q2478305","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q2478305","change_state","Польская рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",1921
"Q2478305","change_state","БССР (з1939 г.)","Q2895",1939
"Q2478305","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2478305","get_magdeburg",,,"29.06.1518, 27.031523"
"Q2478305","become_settlement",,,
"Q956614","change_state","ВКЛ","Q49683",1366
"Q956614","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q956614","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q956614","change_state","Польская рэспубліка (II Рэч Паспалітая) (з 1921 г.) ","Q207272",1921
"Q956614","change_state","БССР (з 1939 г.)","Q2895",1939
"Q956614","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q956614","get_magdeburg",,,"26.06.1503"
"Q956614","become_city",,,
"Q2630527","change_state","ВКЛ","Q49683",1577
"Q2630527","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q2630527","change_state","Расійская імперыя (з 1722 г.)","Q34266",1722
"Q2630527","change_state","БНР (з 25 сакавіка 1918 г.)","Q842199",1918
"Q2630527","change_state","БССР ( з 1 студзеня 1919 г.)","Q2895",1919
"Q2630527","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2630527","get_magdeburg",,,"?"
"Q2630527","become_settlement",,,1938
"Q2630527","become_city",,,2017
"Q1033593","become_village","ВКЛ (з пач. XVI  ст.)","Q49683","15?"
"Q1033593","become_town","ВКЛ (з першай пал. XVII ст.)","Q49683",16
"Q1033593","become_town","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q1033593","become_town","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q1033593","become_settlement","БССР (з 1919 г.)","Q2895",1919
"Q1033593","become_settlement","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q1033593","get_magdeburg",,,1634
"Q954914","become_city","ВКЛ (з 1358 г.)","Q49683",1358
"Q954914","become_city","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q954914","become_town","Расійская імперыя (з 1772 г.)","Q34266",1772
"Q954914","become_city","БССР (з 1919 г.)","Q2895",1919
"Q954914","become_city","Рэспублика Беларусь (ад 1991 г.)","Q184",1991
"Q954914","get_magdeburg",,,"23.08.1633"
"Q2471831","change_state","ВКЛ","Q49683","13?"
"Q2471831","change_state","Рэч Паспалітая (з 1565 г.)","Q172107",1565
"Q2471831","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q2471831","change_state","Польская рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",1921
"Q2471831","change_state","БССР (з1939 г.)","Q2895",1939
"Q2471831","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2471831","get_magdeburg",,,"20.08.1569, 28.05. 1570 "
"Q2471831","become_town",,,1565
"Q2471831","become_settlement",,,"20?"
"Q208609","change_state","Смаленскае княства (XII ст.)",,"11?"
"Q208609","change_state","Віцебскае княства ( пач. XIV ст.)",,"13?"
"Q208609","change_state","ВКЛ ","Q49683",1320
"Q208609","change_state","Рэч Паспалітая (з 1566 г.)","Q172107",1566
"Q208609","change_state","Расійская імперыя (з 1772 г.)","Q34266",1772
"Q208609","change_state","БНР (з 25 сакавіка 1918 г.)","Q842199",1918
"Q208609","change_state","БССР (з 1919 г., 1924 г.)","Q2895","1919,1924"
"Q208609","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q208609","get_magdeburg",,,"13.12.1620"
"Q208609","become_city",,,
"Q2621918","change_state","Полацкае княства (XII ст.)",,"11?"
"Q2621918","change_state","ВКЛ","Q49683","13?"
"Q2621918","change_state","Рэч Паспалитая (з 1566 г.)","Q172107",1566
"Q2621918","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q2621918","change_state","Польская рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",1921
"Q2621918","change_state","БССР (з 1939 г.)","Q2895",1939
"Q2621918","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2621918","get_magdeburg",,,1643
"Q2621918","become_town",,,1793
"Q2621918","become_settlement",,,1940
"Q2621918","become_agrotown",,,"20?"
